90701,2023/03/08 21:39:44,Admin,NE,Login Authentication,Local,,,,Login Result,Success,INFORMATION,CONTROL,LCT,10.1.4.225
90700,2023/03/08 00:00:02,,TRP,,Slot02,,1day,TO_ORANGE PARK,RX Level (MIN),Normal,CLEARED,ALARM,,
90699,2023/03/08 00:00:02,,TRP,,Slot01,,1day,TO_ORANGE PARK,RX Level (MIN),Normal,CLEARED,ALARM,,
90698,2023/03/06 08:08:28,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,TX Modulation,2048QAM,INFORMATION,STATUS,,
90697,2023/03/06 08:07:48,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,2048QAM,INFORMATION,STATUS,,
90696,2023/03/06 08:07:46,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,TX Modulation,2048QAM,INFORMATION,STATUS,,
90695,2023/03/06 08:07:20,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,1024QAM,INFORMATION,STATUS,,
90694,2023/03/06 08:05:38,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,2048QAM,INFORMATION,STATUS,,
90693,2023/03/06 08:00:02,,TRP,,Slot02,,15min,TO_ORANGE PARK,RX Level (MIN),Normal,CLEARED,ALARM,,
90692,2023/03/06 08:00:02,,TRP,,Slot01,,15min,TO_ORANGE PARK,RX Level (MIN),Normal,CLEARED,ALARM,,
90691,2023/03/06 07:51:58,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,TX Modulation,1024QAM,INFORMATION,STATUS,,
90690,2023/03/06 07:51:31,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,1024QAM,INFORMATION,STATUS,,
90689,2023/03/06 07:45:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,512QAM,INFORMATION,STATUS,,
90688,2023/03/06 07:45:27,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,TX Modulation,1024QAM,INFORMATION,STATUS,,
90687,2023/03/06 07:45:08,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,512QAM,INFORMATION,STATUS,,
90686,2023/03/06 07:44:09,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,256QAM,INFORMATION,STATUS,,
90685,2023/03/06 07:43:58,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,256QAM,INFORMATION,STATUS,,
90684,2023/03/06 07:43:57,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,TX Modulation,512QAM,INFORMATION,STATUS,,
90683,2023/03/06 07:43:49,,MDP,,,Ring ID02,,,ETH-Ring Port0 Status,Forwarding,INFORMATION,STATUS,,
90682,2023/03/06 07:43:49,,MDP,,,Ring ID02,,,ETH-Ring Cause,Remote NR,INFORMATION,STATUS,,
90681,2023/03/06 07:43:49,,MDP,,,Ring ID02,,,ETH-Ring Status,Idle,INFORMATION,STATUS,,
90680,2023/03/06 07:43:49,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90679,2023/03/06 07:43:42,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,64QAM,INFORMATION,STATUS,,
90678,2023/03/06 07:43:42,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90677,2023/03/06 07:43:19,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,TX Modulation,512QAM,INFORMATION,STATUS,,
90676,2023/03/06 07:43:15,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,32QAM,INFORMATION,STATUS,,
90675,2023/03/06 07:43:11,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,16QAM,INFORMATION,STATUS,,
90674,2023/03/06 07:43:11,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,64QAM,INFORMATION,STATUS,,
90673,2023/03/06 07:43:03,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,32QAM,INFORMATION,STATUS,,
90672,2023/03/06 07:42:59,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,TX Modulation,256QAM,INFORMATION,STATUS,,
90671,2023/03/06 07:42:58,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,16QAM,INFORMATION,STATUS,,
90670,2023/03/06 07:42:53,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90669,2023/03/06 07:42:51,,TRP,,Slot02,,1day,TO_ORANGE PARK,RX Level (MIN),Alarm,MINOR,ALARM,,
90668,2023/03/06 07:42:51,,TRP,,Slot02,,15min,TO_ORANGE PARK,RX Level (MIN),Alarm,MINOR,ALARM,,
90667,2023/03/06 07:42:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90666,2023/03/06 07:42:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Low BER,Normal,CLEARED,ALARM,,
90665,2023/03/06 07:42:51,,MDP,MODEM,Slot01,Port1,,TO_ORANGE PARK,Radio Traffic Aggregation Encapsulation Error,Normal,INFORMATION,STATUS,,
90664,2023/03/06 07:42:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,L2SYNC Loss,Normal,CLEARED,ALARM,,
90663,2023/03/06 07:42:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Low BER,Alarm,MINOR,ALARM,,
90662,2023/03/06 07:42:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,High BER,Normal,CLEARED,ALARM,,
90661,2023/03/06 07:42:50,,MDP,,,MEP Index005,,,ETH-OAM LOC,Normal,CLEARED,ALARM,,
90660,2023/03/06 07:42:48,,MDP,,,Ring ID02,,,ETH-Ring Port0 Status,Blocking,INFORMATION,STATUS,,
90659,2023/03/06 07:42:48,,MDP,,,Ring ID02,,,ETH-Ring Cause,Local NR,INFORMATION,STATUS,,
90658,2023/03/06 07:42:48,,MDP,,,Ring ID02,,,ETH-Ring Status,Pending,INFORMATION,STATUS,,
90657,2023/03/06 07:42:48,,MDP,Main Card,,REF2,,,Quality Level,QL-DUS,INFORMATION,STATUS,,
90656,2023/03/06 07:42:48,,TRP,,Slot02,,,TO_ORANGE PARK,RX Level,Normal,CLEARED,ALARM,,
90655,2023/03/06 07:42:48,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,L2SYNC Loss,Alarm,MAJOR,ALARM,,
90654,2023/03/06 07:42:48,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,High BER,Alarm,MAJOR,ALARM,,
90653,2023/03/06 07:42:48,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Frame ID,Normal,CLEARED,ALARM,,
90652,2023/03/06 07:42:48,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,LOF,Normal,CLEARED,ALARM,,
90651,2023/03/06 07:42:48,,MDP,Main Card,,REF2,,,CLK Drift,Normal,CLEARED,ALARM,,
90650,2023/03/06 07:42:48,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,TX Modulation,128QAM,INFORMATION,STATUS,,
90649,2023/03/06 07:42:48,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Frame ID,Alarm,MAJOR,ALARM,,
90648,2023/03/06 07:42:48,,MDP,Main Card,,REF2,,,CLK Drift,Alarm,MINOR,ALARM,,
90647,2023/03/06 07:42:46,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,TX Modulation,QPSK,INFORMATION,STATUS,,
90646,2023/03/06 07:42:46,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,L2SYNC Loss,Normal,CLEARED,ALARM,,
90645,2023/03/06 07:42:46,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,High BER,Normal,CLEARED,ALARM,,
90644,2023/03/06 07:42:46,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,LOF,Alarm,MAJOR,ALARM,,
90643,2023/03/06 07:42:46,,MDP,Main Card,,REF2,,,SSM FAIL,Normal,CLEARED,ALARM,,
90642,2023/03/06 07:42:45,,MDP,MODEM,Slot01,Port1,,TO_ORANGE PARK,Radio Traffic Aggregation Encapsulation Error,Occur,INFORMATION,STATUS,,
90641,2023/03/06 07:42:45,,TRP,,Slot02,,,TO_ORANGE PARK,RX Level,Alarm,MAJOR,ALARM,,
90640,2023/03/06 07:42:45,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,L2SYNC Loss,Alarm,MAJOR,ALARM,,
90639,2023/03/06 07:42:45,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Low BER,Normal,CLEARED,ALARM,,
90638,2023/03/06 07:42:45,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,High BER,Alarm,MAJOR,ALARM,,
